lambda0 k theta sigma alpha epsilon weight
1.26989 22299 5.66529e-05 0.357794 0.912372 0.85804 2.5637e-05
1.24899 22299 5.66529e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26769 22299 5.66529e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25875 22299 5.66529e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26117 22299 5.66529e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26525 22299 5.66529e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26747 22299 5.66529e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25988 22299 5.66529e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26558 22299 5.66529e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27061 22299 5.66529e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25475 22299 5.66529e-05 0.357794 0.912372 0.85804 6.68988e-05
1.27033 22299 5.66529e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25432 22297 5.6657e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27296 22297 5.6657e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26295 22297 5.6657e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25866 22297 5.6657e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26524 22297 5.6657e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27602 22297 5.6657e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26592 22297 5.66554e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26797 22297 5.66554e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25629 22297 5.66554e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26716 22297 5.66554e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26549 22297 5.66554e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24769 22319 5.66038e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2581 22319 5.66038e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26155 22319 5.66038e-05 0.357794 0.912372 0.85804 4.41637e-05
