lambda,	weight
10.4265,	-11.3667
14.9004,	-11.0096
11.6772,	-11.2534
7.57688,	-11.6859
4.42434,	-12.2239
8.4194,	-11.5805
6.73952,	-11.803
7.19347,	-11.7378
6.40484,	-11.854
8.83708,	-11.5321
9.74952,	-11.4338
12.9751,	-11.148
7.24005,	-11.7314
12.4451,	-11.1897
9.78743,	-11.4299
5.4881,	-12.0084
7.09712,	-11.7513
9.11032,	-11.5016
6.61299,	-11.822
9.31371,	-11.4795
6.6252,	-11.8201
5.58685,	-11.9906
10.5471,	-11.3552
14.4203,	-11.0424
7.02558,	-11.7615
4.92184,	-12.1173
8.78002,	-11.5385
9.10048,	-11.5027
9.34121,	-11.4766
4.58773,	-12.1876
12.8181,	-11.1602
6.29996,	-11.8705
8.25029,	-11.6008
7.35813,	-11.7152
7.331,	-11.7189
8.89948,	-11.525
4.14987,	-12.2879
13.8507,	-11.0827
11.1987,	-11.2952
5.38927,	-12.0266
7.537,	-11.6912
6.28386,	-11.873
7.684,	-11.6719
7.98884,	-11.633
8.52019,	-11.5686
7.63617,	-11.6781
5.35692,	-12.0326
7.33129,	-11.7189
6.22828,	-11.8819
5.48867,	-12.0083
6.36751,	-11.8598
13.2088,	-11.1301
8.75972,	-11.5409
9.20183,	-11.4916
3.68644,	-12.4064
7.35047,	-11.7163
9.89921,	-11.4186
16.9853,	-10.8787
8.67915,	-11.5501
13.0734,	-11.1404
7.44257,	-11.7038
8.07055,	-11.6228
5.46371,	-12.0129
10.5164,	-11.3581
11.4555,	-11.2725
6.84025,	-11.7882
3.97506,	-12.331
10.4188,	-11.3674
12.8211,	-11.1599
6.26098,	-11.8767
7.6832,	-11.672
8.06474,	-11.6235
4.81669,	-12.1389
9.28427,	-11.4827
11.6338,	-11.2571
9.13768,	-11.4986
7.25578,	-11.7292
6.13515,	-11.897
8.82807,	-11.5331
9.36012,	-11.4746
11.487,	-11.2698
5.80929,	-11.9516
13.0756,	-11.1403
5.26106,	-12.0507
8.36817,	-11.5866
9.73683,	-11.4351
10.422,	-11.3671
10.7491,	-11.3362
8.78414,	-11.5381
12.6281,	-11.1751
10.1334,	-11.3952
8.88642,	-11.5265
11.8324,	-11.2402
11.5327,	-11.2658
4.30121,	-12.2521
4.2611,	-12.2615
7.93759,	-11.6394
14.3017,	-11.0506
9.26053,	-11.4853
8.43279,	-11.5789
6.59531,	-11.8247
12.2331,	-11.2069
10.3272,	-11.3762
6.85288,	-11.7863
9.46013,	-11.4639
5.48917,	-12.0082
6.76668,	-11.799
8.45019,	-11.5768
9.95446,	-11.413
4.48542,	-12.2102
7.44888,	-11.703
10.959,	-11.3169
10.9345,	-11.3191
8.62759,	-11.5561
6.42632,	-11.8506
6.16125,	-11.8927
7.74149,	-11.6644
8.19793,	-11.6071
7.17831,	-11.74
15.8531,	-10.9477
12.7689,	-11.164
2.59559,	-12.7572
15.7605,	-10.9535
7.32765,	-11.7194
7.34302,	-11.7173
10.0408,	-11.4044
13.7111,	-11.0928
16.4885,	-10.9084
16.2577,	-10.9225
12.855,	-11.1573
7.60046,	-11.6828
8.47667,	-11.5737
10.4882,	-11.3608
6.13521,	-11.897
14.8227,	-11.0149
10.8766,	-11.3244
10.7018,	-11.3406
8.3317,	-11.5909
11.3777,	-11.2794
11.832,	-11.2402
8.81532,	-11.5345
9.01376,	-11.5123
9.7833,	-11.4303
6.93315,	-11.7747
7.42937,	-11.7056
6.13182,	-11.8975
5.82804,	-11.9483
9.32177,	-11.4787
6.71122,	-11.8072
7.05854,	-11.7568
7.90174,	-11.6439
9.51868,	-11.4578
6.80372,	-11.7935
9.61605,	-11.4476
4.70265,	-12.1629
7.18924,	-11.7384
7.37884,	-11.7124
6.86285,	-11.7849
7.74043,	-11.6646
10.146,	-11.3939
11.5614,	-11.2633
6.53328,	-11.8341
15.7206,	-10.956
7.30173,	-11.7229
8.43931,	-11.5781
7.26817,	-11.7275
7.42218,	-11.7065
6.73097,	-11.8043
12.0001,	-11.2261
7.75754,	-11.6624
7.00832,	-11.7639
6.70415,	-11.8083
10.8735,	-11.3247
7.09275,	-11.7519
12.2562,	-11.205
9.50155,	-11.4596
12.3033,	-11.2012
13.7077,	-11.0931
8.33046,	-11.5911
11.7865,	-11.2441
13.1989,	-11.1309
10.9733,	-11.3156
6.86988,	-11.7839
13.1026,	-11.1382
8.31039,	-11.5935
9.50398,	-11.4593
8.83465,	-11.5323
5.27891,	-12.0473
8.90787,	-11.5241
8.49278,	-11.5718
9.91265,	-11.4172
13.4722,	-11.1104
6.67959,	-11.812
8.82736,	-11.5332
4.61612,	-12.1815
6.14605,	-11.8952
12.0764,	-11.2198
6.65607,	-11.8155
11.9713,	-11.2285
6.60154,	-11.8237
